--------------------------------
OBJECT STRUCTURES (4 bytes each)
--------------------------------
OBJECT   = pointers to palettes/sprites & animations/molds
	   byte 1,2  palette/GFX pointer
	   (bytes AND #$01FF) * 4 + 251800 = offset of pointers
	   byte 3,4  mold + animation sequence pointer

PTRS --- = pointers to whatever follows the ---
PAL      = object's palette
MOLD     = object's mold
GFX      = object's uncompressed sprite graphics

   ///==========\
 ///  CHARACTERS |
=======================================================================
OBJECT   PTRS --- PAL ---- GFX      PTRS --- MOLD     BYTE    OBJECT ID
----------------------------------------------------------------------------------------
250000 | 251C78 | 257998 | 30C4C0 | 2522CD | 27E606 | [000] | Mario (walking, down-left)
250890 | 251A88 | 255E4A | 2CB1C0 | 2522AF | 27DFC9 | [224] | Willy Wisp purple electric ball
250894 | 251AA8 | 25602A | 2CC4E0 | 2522C7 | 27E4EE | [225] | spore (pink/green)
250898 | 251AAC | 256066 | 2CC640 | 2522CA | 27E5D2 | [226] | bolt (hardware-wise)
25089C | 251A54 | 255BF2 | 2C9100 | 252288 | 27D779 | [227] | Mute balloon
2508A0 | 251A24 | 25597C | 2C74A0 | 252264 | 27D03E | [228] | 'Thank You' red dialogue bubble
2508A4 | 251A24 | 25599A | 2C74A0 | 252264 | 27D03E | [229] | 'Thank You' purple dialogue bubble
2508A8 | 251A24 | 2559B8 | 2C74A0 | 252264 | 27D03E | [22A] | 'Thank You' blue dialogue bubble
2508AC | 251A24 | 2559D6 | 2C74A0 | 252264 | 27D03E | [22B] | 'Thank You' green dialogue bubble
2508B0 | 251A24 | 2559F4 | 2C74A0 | 252264 | 27D03E | [22C] | 'Thank You' yellow dialogue bubble
2508B4 | 251A28 | 255A12 | 2C75C0 | 252267 | 27D099 | [22D] | 'Psychopath' question mark cloud
2508B8 | 251A60 | 255CA6 | 2CA0E0 | 252291 | 27DAE4 | [22E] | thrown shuriken
2508BC | 2519F8 | 2557BA | 2C5620 | 252243 | 27C49B | [22F] | green cure stars
2508C0 | 2519F8 | 2557D8 | 2C5620 | 252243 | 27C49B | [230] | red cure stars
2508C4 | 2519F8 | 2557F6 | 2C5620 | 252243 | 27C49B | [231] | blue cure stars
2508C8 | 251A34 | 255AA8 | 2C8200 | 252270 | 27D2FD | [232] | yellow reusable item sprite with letter I
2508CC | 251A58 | 255C6A | 2C9880 | 25228B | 27D97D | [233] | 'A' button from Bowyer's 'Button Lock'
2508D0 | 251A64 | 255CC4 | 2CA160 | 252294 | 27DB1B | [234] | Bowser's spike shot
2508D4 | 251A68 | 255CE2 | 2CA1E0 | 252297 | 27DB3A | [235] | 'Geno Flash' squinting eyes
2508D8 | 251A6C | 255D00 | 2CA2C0 | 25229A | 27DB96 | [236] | green item collection
2508DC | 251A6C | 255D1E | 2CA2C0 | 25229A | 27DB96 | [237] | red item collection
2508E0 | 251A6C | 255D3C | 2CA2C0 | 25229A | 27DB96 | [238] | blue item collection
2508E4 | 251A6C | 255D5A | 2CA2C0 | 25229A | 27DB96 | [239] | yellow item collection
2508E8 | 251AA8 | 256048 | 2CC4E0 | 2522C7 | 27E4EE | [23A] | green spore
2508EC | 251A70 | 255D78 | 2CA6E0 | 25229D | 27DC4B | [23B] | 'Fear' exclamation point
2508F0 | 251800 | 253000 | 280000 | 252000 | 259000 | [23C] | ....
2508F4 | 251A74 | 255D96 | 2CA800 | 2522A0 | 27DC8C | [23D] | Mokura
2508F8 | 251A78 | 255DB4 | 2CACA0 | 2522A3 | 27DD49 | [23E] | Drain
2508FC | 251A7C | 255DD2 | 2CAE20 | 2522A6 | 27DDBC | [23F] | sparkles
250900 | 251800 | 253000 | 280000 | 252000 | 259000 | [240] | ....
250904 | 251800 | 253000 | 280000 | 252000 | 259000 | [241] | ....
250908 | 251800 | 253000 | 280000 | 252000 | 259000 | [242] | ....
25090C | 251800 | 253000 | 280000 | 252000 | 259000 | [243] | ....
250910 | 251800 | 253000 | 280000 | 252000 | 259000 | [244] | ....
250914 | 251800 | 253000 | 280000 | 252000 | 259000 | [245] | ....
250918 | 251800 | 253000 | 280000 | 252000 | 259000 | [246] | ....
25091C | 251800 | 253000 | 280000 | 252000 | 259000 | [247] | ....
250920 | 251800 | 253000 | 280000 | 252000 | 259000 | [248] | ....
250924 | 251800 | 253000 | 280000 | 252000 | 259000 | [249] | ....
250928 | 251800 | 253000 | 280000 | 252000 | 259000 | [24A] | ....
25092C | 251800 | 253000 | 280000 | 252000 | 259000 | [24B] | ....
250930 | 251800 | 253000 | 280000 | 252000 | 259000 | [24C] | ....
250934 | 251800 | 253000 | 280000 | 252000 | 259000 | [24D] | ....
250938 | 251800 | 253000 | 280000 | 252000 | 259000 | [24E] | ....
25093C | 251800 | 253000 | 280000 | 252000 | 259000 | [24F] | ....
250940 | 251800 | 253000 | 280000 | 252000 | 259000 | [250] | ....
250944 | 251800 | 253000 | 280000 | 252000 | 259000 | [251] | ....
250948 | 251800 | 253000 | 280000 | 252000 | 259000 | [252] | ....
25094C | 251800 | 253000 | 280000 | 252000 | 259000 | [253] | ....
250950 | 251800 | 253000 | 280000 | 252000 | 259000 | [254] | ....
250954 | 251800 | 253000 | 280000 | 252000 | 259000 | [255] | ....
250958 | 251800 | 253000 | 280000 | 252000 | 259000 | [256] | ....
25095C | 251800 | 253000 | 280000 | 252000 | 259000 | [257] | ....
250960 | 251800 | 253000 | 280000 | 252000 | 259000 | [258] | ....
250964 | 251800 | 253000 | 280000 | 252000 | 259000 | [259] | ....
250968 | 251800 | 253000 | 280000 | 252000 | 259000 | [25A] | ....
25096C | 251800 | 253000 | 280000 | 252000 | 259000 | [25B] | ....
250970 | 251800 | 253000 | 280000 | 252000 | 259000 | [25C] | ....
250974 | 251800 | 253000 | 280000 | 252000 | 259000 | [25D] | ....
250978 | 251800 | 253000 | 280000 | 252000 | 259000 | [25E] | ....
25097C | 251800 | 253000 | 280000 | 252000 | 259000 | [25F] | ....
250980 | 251800 | 253000 | 280000 | 252000 | 259000 | [260] | ....
250984 | 251800 | 253000 | 280000 | 252000 | 259000 | [261] | ....
250988 | 251800 | 253000 | 280000 | 252000 | 259000 | [262] | ....
25098C | 251800 | 253000 | 280000 | 252000 | 259000 | [263] | ....
250990 | 251800 | 253000 | 280000 | 252000 | 259000 | [264] | ....
250994 | 251800 | 253000 | 280000 | 252000 | 259000 | [265] | ....
250998 | 251800 | 253000 | 280000 | 252000 | 259000 | [266] | ....
25099C | 251800 | 253000 | 280000 | 252000 | 259000 | [267] | ....
2509A0 | 251800 | 253000 | 280000 | 252000 | 259000 | [268] | ....
2509A4 | 251800 | 253000 | 280000 | 252000 | 259000 | [269] | ....
2509A8 | 251800 | 253000 | 280000 | 252000 | 259000 | [26A] | ....
2509AC | 251800 | 253000 | 280000 | 252000 | 259000 | [26B] | ....
2509B0 | 251800 | 253000 | 280000 | 252000 | 259000 | [26C] | ....
2509B4 | 251800 | 253000 | 280000 | 252000 | 259000 | [26D] | ....
2509B8 | 251800 | 253000 | 280000 | 252000 | 259000 | [26E] | ....
2509BC | 251800 | 253000 | 280000 | 252000 | 259000 | [26F] | ....
2509C0 | 251800 | 253000 | 280000 | 252000 | 259000 | [270] | ....
2509C4 | 251800 | 253000 | 280000 | 252000 | 259000 | [271] | ....
2509C8 | 251800 | 253000 | 280000 | 252000 | 259000 | [272] | ....
2509CC | 251800 | 253000 | 280000 | 252000 | 259000 | [273] | ....
2509D0 | 251800 | 253000 | 280000 | 252000 | 259000 | [274] | ....
2509D4 | 251800 | 253000 | 280000 | 252000 | 259000 | [275] | ....
2509D8 | 251800 | 253000 | 280000 | 252000 | 259000 | [276] | ....
2509DC | 251800 | 253000 | 280000 | 252000 | 259000 | [277] | ....
2509E0 | 251800 | 253000 | 280000 | 252000 | 259000 | [278] | ....
2509E4 | 251800 | 253000 | 280000 | 252000 | 259000 | [279] | ....
2509E8 | 251800 | 253000 | 280000 | 252000 | 259000 | [27A] | ....
2509EC | 251800 | 253000 | 280000 | 252000 | 259000 | [27B] | ....
2509F0 | 251800 | 253000 | 280000 | 252000 | 259000 | [27C] | ....
2509F4 | 251800 | 253000 | 280000 | 252000 | 259000 | [27D] | ....
2509F8 | 251800 | 253000 | 280000 | 252000 | 259000 | [27E] | ....
2509FC | 251800 | 253000 | 280000 | 252000 | 259000 | [27F] | ....
250A00 | 251800 | 253000 | 280000 | 252000 | 259000 | [280] | ....
250A04 | 251800 | 253000 | 280000 | 252000 | 259000 | [281] | ....
250A08 | 251800 | 253000 | 280000 | 252000 | 259000 | [282] | ....
250A0C | 251800 | 253000 | 280000 | 252000 | 259000 | [283] | ....
250A10 | 251800 | 253000 | 280000 | 252000 | 259000 | [284] | ....
250A14 | 251800 | 253000 | 280000 | 252000 | 259000 | [285] | ....
250A18 | 251800 | 253000 | 280000 | 252000 | 259000 | [286] | ....
250A1C | 251800 | 253000 | 280000 | 252000 | 259000 | [287] | ....
250A20 | 251800 | 253000 | 280000 | 252000 | 259000 | [288] | ....
250A24 | 251800 | 253000 | 280000 | 252000 | 259000 | [289] | ....
250A28 | 251800 | 253000 | 280000 | 252000 | 259000 | [28A] | ....
250A2C | 251800 | 253000 | 280000 | 252000 | 259000 | [28B] | ....
250A30 | 251800 | 253000 | 280000 | 252000 | 259000 | [28C] | ....
250A34 | 251800 | 253000 | 280000 | 252000 | 259000 | [28D] | ....
250A38 | 251800 | 253000 | 280000 | 252000 | 259000 | [28E] | ....
250A3C | 251800 | 253000 | 280000 | 252000 | 259000 | [28F] | ....
250A40 | 251800 | 253000 | 280000 | 252000 | 259000 | [290] | ....
250A44 | 251800 | 253000 | 280000 | 252000 | 259000 | [291] | ....
250A48 | 251800 | 253000 | 280000 | 252000 | 259000 | [292] | ....
250A4C | 251800 | 253000 | 280000 | 252000 | 259000 | [293] | ....
250A50 | 251800 | 253000 | 280000 | 252000 | 259000 | [294] | ....
250A54 | 251800 | 253000 | 280000 | 252000 | 259000 | [295] | ....
250A58 | 251800 | 253000 | 280000 | 252000 | 259000 | [296] | ....
250A5C | 251800 | 253000 | 280000 | 252000 | 259000 | [297] | ....
250A60 | 251800 | 253000 | 280000 | 252000 | 259000 | [298] | ....
250A64 | 251800 | 253000 | 280000 | 252000 | 259000 | [299] | ....
250A68 | 251800 | 253000 | 280000 | 252000 | 259000 | [29A] | ....
250A6C | 251800 | 253000 | 280000 | 252000 | 259000 | [29B] | ....
250A70 | 251800 | 253000 | 280000 | 252000 | 259000 | [29C] | ....
250A74 | 251800 | 253000 | 280000 | 252000 | 259000 | [29D] | ....
250A78 | 251800 | 253000 | 280000 | 252000 | 259000 | [29E] | ....
250A7C | 251800 | 253000 | 280000 | 252000 | 259000 | [29F] | ....
250A80 | 251800 | 253000 | 280000 | 252000 | 259000 | [2A0] | ....
250A84 | 251800 | 253000 | 280000 | 252000 | 259000 | [2A1] | ....
250A88 | 251800 | 253000 | 280000 | 252000 | 259000 | [2A2] | ....
250A8C | 251800 | 253000 | 280000 | 252000 | 259000 | [2A3] | ....
250A90 | 251800 | 253000 | 280000 | 252000 | 259000 | [2A4] | ....
250A94 | 251800 | 253000 | 280000 | 252000 | 259000 | [2A5] | ....
250A98 | 251800 | 253000 | 280000 | 252000 | 259000 | [2A6] | ....
250A9C | 251800 | 253000 | 280000 | 252000 | 259000 | [2A7] | ....
250AA0 | 251800 | 253000 | 280000 | 252000 | 259000 | [2A8] | ....
250AA4 | 251800 | 253000 | 280000 | 252000 | 259000 | [2A9] | ....
250AA8 | 251800 | 253000 | 280000 | 252000 | 259000 | [2AA] | ....
250AAC | 251800 | 253000 | 280000 | 252000 | 259000 | [2AB] | ....
250AB0 | 251800 | 253000 | 280000 | 252000 | 259000 | [2AC] | ....
250AB4 | 251800 | 253000 | 280000 | 252000 | 259000 | [2AD] | ....
250AB8 | 251800 | 253000 | 280000 | 252000 | 259000 | [2AE] | ....
250ABC | 251800 | 253000 | 280000 | 252000 | 259000 | [2AF] | ....
250AC0 | 251800 | 253000 | 280000 | 252000 | 259000 | [2B0] | ....
250AC4 | 251800 | 253000 | 280000 | 252000 | 259000 | [2B1] | ....
250AC8 | 251800 | 253000 | 280000 | 252000 | 259000 | [2B2] | ....
250ACC | 251800 | 253000 | 280000 | 252000 | 259000 | [2B3] | ....
250AD0 | 251800 | 253000 | 280000 | 252000 | 259000 | [2B4] | ....
250AD4 | 251800 | 253000 | 280000 | 252000 | 259000 | [2B5] | ....
250AD8 | 251800 | 253000 | 280000 | 252000 | 259000 | [2B6] | ....
250ADC | 251800 | 253000 | 280000 | 252000 | 259000 | [2B7] | ....
250AE0 | 251800 | 253000 | 280000 | 252000 | 259000 | [2B8] | ....
250AE4 | 251800 | 253000 | 280000 | 252000 | 259000 | [2B9] | ....
250AE8 | 251800 | 253000 | 280000 | 252000 | 259000 | [2BA] | ....
250AEC | 251800 | 253000 | 280000 | 252000 | 259000 | [2BB] | ....
250AF0 | 251800 | 253000 | 280000 | 252000 | 259000 | [2BC] | ....
250AF4 | 251800 | 253000 | 280000 | 252000 | 259000 | [2BD] | ....
250AF8 | 251800 | 253000 | 280000 | 252000 | 259000 | [2BE] | ....
250AFC | 251800 | 253000 | 280000 | 252000 | 259000 | [2BF] | ....
250B00 | 251800 | 253000 | 280000 | 252000 | 259000 | [2C0] | ....
250B04 | 251800 | 253000 | 280000 | 252000 | 259000 | [2C1] | ....
250B08 | 251800 | 253000 | 280000 | 252000 | 259000 | [2C2] | ....
250B0C | 251800 | 253000 | 280000 | 252000 | 259000 | [2C3] | ....
250B10 | 251800 | 253000 | 280000 | 252000 | 259000 | [2C4] | ....
250B14 | 251800 | 253000 | 280000 | 252000 | 259000 | [2C5] | ....
250B18 | 251800 | 253000 | 280000 | 252000 | 259000 | [2C6] | ....
250B1C | 251800 | 253000 | 280000 | 252000 | 259000 | [2C7] | ....
250B20 | 251800 | 253000 | 280000 | 252000 | 259000 | [2C8] | ....
250B24 | 251800 | 253000 | 280000 | 252000 | 259000 | [2C9] | ....
250B28 | 251800 | 253000 | 280000 | 252000 | 259000 | [2CA] | ....
250B2C | 251800 | 253000 | 280000 | 252000 | 259000 | [2CB] | ....
250B30 | 251800 | 253000 | 280000 | 252000 | 259000 | [2CC] | ....
250B34 | 251800 | 253000 | 280000 | 252000 | 259000 | [2CD] | ....
250B38 | 251800 | 253000 | 280000 | 252000 | 259000 | [2CE] | ....
250B3C | 251800 | 253000 | 280000 | 252000 | 259000 | [2CF] | ....
250B40 | 251800 | 253000 | 280000 | 252000 | 259000 | [2D0] | ....
250B44 | 251800 | 253000 | 280000 | 252000 | 259000 | [2D1] | ....
250B48 | 251800 | 253000 | 280000 | 252000 | 259000 | [2D2] | ....
250B4C | 251800 | 253000 | 280000 | 252000 | 259000 | [2D3] | ....
250B50 | 251800 | 253000 | 280000 | 252000 | 259000 | [2D4] | ....
250B54 | 251800 | 253000 | 280000 | 252000 | 259000 | [2D5] | ....
250B58 | 251800 | 253000 | 280000 | 252000 | 259000 | [2D6] | ....
250B5C | 251800 | 253000 | 280000 | 252000 | 259000 | [2D7] | ....
250B60 | 251800 | 253000 | 280000 | 252000 | 259000 | [2D8] | ....
250B64 | 251800 | 253000 | 280000 | 252000 | 259000 | [2D9] | ....
250B68 | 251800 | 253000 | 280000 | 252000 | 259000 | [2DA] | ....
250B6C | 251800 | 253000 | 280000 | 252000 | 259000 | [2DB] | ....
250B70 | 251800 | 253000 | 280000 | 252000 | 259000 | [2DC] | ....
250B74 | 251800 | 253000 | 280000 | 252000 | 259000 | [2DD] | ....
250B78 | 251800 | 253000 | 280000 | 252000 | 259000 | [2DE] | ....
250B7C | 251800 | 253000 | 280000 | 252000 | 259000 | [2DF] | ....
250B80 | 251800 | 253000 | 280000 | 252000 | 259000 | [2E0] | ....
250B84 | 251800 | 253000 | 280000 | 252000 | 259000 | [2E1] | ....
250B88 | 251800 | 253000 | 280000 | 252000 | 259000 | [2E2] | ....
250B8C | 251800 | 253000 | 280000 | 252000 | 259000 | [2E3] | ....
250B90 | 251800 | 253000 | 280000 | 252000 | 259000 | [2E4] | ....
250B94 | 251800 | 253000 | 280000 | 252000 | 259000 | [2E5] | ....
250B98 | 251800 | 253000 | 280000 | 252000 | 259000 | [2E6] | ....
250B9C | 251800 | 253000 | 280000 | 252000 | 259000 | [2E7] | ....
250BA0 | 251800 | 253000 | 280000 | 252000 | 259000 | [2E8] | ....
250BA4 | 251800 | 253000 | 280000 | 252000 | 259000 | [2E9] | ....
250BA8 | 251800 | 253000 | 280000 | 252000 | 259000 | [2EA] | ....
250BAC | 251800 | 253000 | 280000 | 252000 | 259000 | [2EB] | ....
250BB0 | 251800 | 253000 | 280000 | 252000 | 259000 | [2EC] | ....
250BB4 | 251800 | 253000 | 280000 | 252000 | 259000 | [2ED] | ....
250BB8 | 251800 | 253000 | 280000 | 252000 | 259000 | [2EE] | ....
250BBC | 251800 | 253000 | 280000 | 252000 | 259000 | [2EF] | ....
250BC0 | 251800 | 253000 | 280000 | 252000 | 259000 | [2F0] | ....
250BC4 | 251800 | 253000 | 280000 | 252000 | 259000 | [2F1] | ....
250BC8 | 251800 | 253000 | 280000 | 252000 | 259000 | [2F2] | ....
250BCC | 251800 | 253000 | 280000 | 252000 | 259000 | [2F3] | ....
250BD0 | 251800 | 253000 | 280000 | 252000 | 259000 | [2F4] | ....
250BD4 | 251800 | 253000 | 280000 | 252000 | 259000 | [2F5] | ....
250BD8 | 251800 | 253000 | 280000 | 252000 | 259000 | [2F6] | ....
250BDC | 251800 | 253000 | 280000 | 252000 | 259000 | [2F7] | ....
250BE0 | 251800 | 253000 | 280000 | 252000 | 259000 | [2F8] | ....
250BE4 | 251800 | 253000 | 280000 | 252000 | 259000 | [2F9] | ....
250BE8 | 251800 | 253000 | 280000 | 252000 | 259000 | [2FA] | ....
250BEC | 251800 | 253000 | 280000 | 252000 | 259000 | [2FB] | ....
250BF0 | 251800 | 253000 | 280000 | 252000 | 259000 | [2FC] | ....
250BF4 | 251800 | 253000 | 280000 | 252000 | 259000 | [2FD] | ....
250BF8 | 251800 | 253000 | 280000 | 252000 | 259000 | [2FE] | ....
250BFC | 251800 | 253000 | 280000 | 252000 | 259000 | [2FF] | ....
=======================================================================

   ///=====\
 ///  MAGIC |
=======================================================================
OBJECT   PTRS --- PAL ---- GFX      PTRS --- MOLD     BYTE    OBJECT ID
-----------------------------------------------------------------------
250C00 | 251800 | 253000 | 280000 | 252000 | 259000 | [300] | ....
250C04 | 251A88 | 255E68 | 2CB1C0 | 2522AF | 27DFC9 | [301] | yellow lightning ball
250C08 | 251A80 | 255DF0 | 2CAE80 | 2522A9 | 27DE80 | [302] | Fire Orb hit explosion
250C0C | 251A84 | 255E0E | 2CB040 | 2522AC | 27DF36 | [303] | egg
250C10 | 251A88 | 255E2C | 2CB1C0 | 2522AF | 27DFC9 | [304] | Lightning Orb blue lightning ball
250C14 | 251BEC | 256FDE | 2F04E0 | 2521F5 | 27B27D | [305] | small yellow spike
250C18 | 251BF0 | 2570B0 | 2F0500 | 2521F8 | 27B299 | [306] | large yellow spike
250C1C | 251A8C | 255E86 | 2CB520 | 2522B2 | 27E06D | [307] | white gas cloud
250C20 | 251A8C | 255EA4 | 2CB520 | 2522B2 | 27E06D | [308] | Blast orange gas cloud
250C24 | 2519DC | 255562 | 2C43A0 | 25222E | 27C092 | [309] | Star Egg little brown bird
250C28 | 251A8C | 255EC2 | 2CB520 | 2522B2 | 27E06D | [30A] | Poison Gas green gas cloud
250C2C | 251A20 | 255922 | 2C7400 | 252261 | 27CE85 | [30B] | white stars
250C30 | 251A8C | 255EE0 | 2CB520 | 2522B2 | 27E06D | [30C] | purple gas cloud
250C34 | 251AA4 | 25600C | 2CC460 | 2522C4 | 27E4CF | [30D] | yellow star
250C38 | 251A04 | 255850 | 2C59A0 | 25224C | 27C820 | [30E] | Diamond Saw snowflake
250C3C | 251A8C | 255EFE | 2CB520 | 2522B2 | 27E06D | [30F] | blue gas cloud
250C40 | 2519D4 | 255526 | 2C3BC0 | 252228 | 27BF10 | [310] | bone throw
250C44 | 251994 | 255274 | 2C16A0 | 2521EF | 27B0FB | [311] | spritz bomb
250C48 | 251A98 | 255F94 | 2CBDE0 | 2522BB | 27E406 | [312] | Wind Crystal
250C4C | 251A90 | 255F1C | 2CB8A0 | 2522B5 | 27E1BE | [313] | green shine web
250C50 | 2519A8 | 2553DC | 2C2420 | 252204 | 27B57B | [314] | big googly eyes
250C54 | 251A98 | 255FB2 | 2CBDE0 | 2522BB | 27E406 | [315] | Water Crystal
250C58 | 2519A0 | 255382 | 2C1B20 | 2521FE | 27B30D | [316] | Sleep Sauce (blue-green)
250C5C | 2519A4 | 2553A0 | 2C1F60 | 252201 | 27B3AB | [317] | Ice Rock
250C60 | 2519A4 | 2553BE | 2C1F60 | 252201 | 27B3AB | [318] | Ice Rock (grey)
250C64 | 2519D8 | 255544 | 2C3D60 | 25222B | 27BF5A | [319] | big pink heart
250C68 | 25199C | 255364 | 2C19A0 | 2521FB | 27B2B8 | [31A] | dark red/yellow fireball
250C6C | 251A20 | 255940 | 2C7400 | 252261 | 27CE85 | [31B] | light green stars
250C70 | 251A20 | 25595E | 2C7400 | 252261 | 27CE85 | [31C] | light orange stars
250C74 | 251A30 | 255A8A | 2C7CE0 | 25226D | 27D200 | [31D] | Sleepy Time sheep/ram
250C78 | 251A38 | 255AE4 | 2C8280 | 252273 | 27D31C | [31E] | Geno Beam/Blast/Flash red power-up star
250C7C | 251800 | 253000 | 280000 | 252000 | 259000 | [31F] | ....
250C80 | 2519AC | 2553FA | 2C2500 | 252207 | 27B68B | [320] | blue/green bubbles/circles
250C84 | 2519B0 | 255418 | 2C2660 | 25220A | 27B7F2 | [321] | sleep ZZZ's
250C88 | 2519B4 | 255436 | 2C2700 | 25220D | 27B930 | [322] | backwards yellow spike
250C8C | 251A94 | 255F3A | 2CBBA0 | 2522B8 | 27E262 | [323] | Water Blast water spouts
250C90 | 25197C | 2551C0 | 2BFCE0 | 252210 | 27B94F | [324] | green drop?
250C94 | 251A94 | 255F58 | 2CBBA0 | 2522B8 | 27E262 | [325] | water spout (red)
250C98 | 2519B8 | 255454 | 2C27A0 | 252213 | 27BA66 | [326] | Royal Flush card
250C9C | 2519BC | 255472 | 2C2A20 | 252216 | 27BAC6 | [327] | yellow shaking bell
250CA0 | 251800 | 253000 | 280000 | 252000 | 259000 | [328] | ....
250CA4 | 2519C0 | 255490 | 2C2D00 | 252219 | 27BB30 | [329] | blue music note
250CA8 | 251AA0 | 255FEE | 2CC440 | 2522C1 | 27E4B3 | [32A] | white pixel dot
250CAC | 251800 | 253000 | 280000 | 252000 | 259000 | [32B] | ....
250CB0 | 251A2C | 255A30 | 2C7BC0 | 25226A | 27D16D | [32C] | blue water surfacing/diving droplets
250CB4 | 251A2C | 255A4E | 2C7BC0 | 25226A | 27D16D | [32D] | green water surfacing/diving droplets
250CB8 | 251A2C | 255A6C | 2C7BC0 | 25226A | 27D16D | [32E] | yellow water surfacing/diving droplets
250CBC | 251800 | 253000 | 280000 | 252000 | 259000 | [32F] | ....
250CC0 | 251800 | 253000 | 280000 | 252000 | 259000 | [330] | ....
250CC4 | 251800 | 253000 | 280000 | 252000 | 259000 | [331] | ....
250CC8 | 251800 | 253000 | 280000 | 252000 | 259000 | [332] | ....
250CCC | 251800 | 253000 | 280000 | 252000 | 259000 | [333] | ....
250CD0 | 2519C4 | 2554AE | 2C2E00 | 25221C | 27BB70 | [334] | Magikoopa's triangle/circle/X cast magic
250CD4 | 251800 | 253000 | 280000 | 252000 | 259000 | [335] | ....
250CD8 | 251800 | 253000 | 280000 | 252000 | 259000 | [336] | ....
250CDC | 251800 | 253000 | 280000 | 252000 | 259000 | [337] | ....
250CE0 | 251800 | 253000 | 280000 | 252000 | 259000 | [338] | ....
250CE4 | 251800 | 253000 | 280000 | 252000 | 259000 | [339] | ....
250CE8 | 2519C8 | 2554CC | 2C2EE0 | 25221F | 27BC6D | [33A] | flower bonus
250CEC | 251800 | 253000 | 280000 | 252000 | 259000 | [33B] | ....
250CF0 | 251800 | 253000 | 280000 | 252000 | 259000 | [33C] | ....
250CF4 | 251800 | 253000 | 280000 | 252000 | 259000 | [33D] | ....
250CF8 | 251800 | 253000 | 280000 | 252000 | 259000 | [33E] | ....
250CFC | 251800 | 253000 | 280000 | 252000 | 259000 | [33F] | ....
250D00 | 251800 | 253000 | 280000 | 252000 | 259000 | [340] | ....
250D04 | 251800 | 253000 | 280000 | 252000 | 259000 | [341] | ....
250D08 | 251800 | 253000 | 280000 | 252000 | 259000 | [342] | ....
250D0C | 251800 | 253000 | 280000 | 252000 | 259000 | [343] | ....
250D10 | 251800 | 253000 | 280000 | 252000 | 259000 | [344] | ....
250D14 | 251800 | 253000 | 280000 | 252000 | 259000 | [345] | ....
250D18 | 251800 | 253000 | 280000 | 252000 | 259000 | [346] | ....
250D1C | 251800 | 253000 | 280000 | 252000 | 259000 | [347] | ....
250D20 | 251800 | 253000 | 280000 | 252000 | 259000 | [348] | ....
250D24 | 251800 | 253000 | 280000 | 252000 | 259000 | [349] | ....
250D28 | 251800 | 253000 | 280000 | 252000 | 259000 | [34A] | ....
250D2C | 251800 | 253000 | 280000 | 252000 | 259000 | [34B] | ....
250D30 | 251800 | 253000 | 280000 | 252000 | 259000 | [34C] | ....
250D34 | 251800 | 253000 | 280000 | 252000 | 259000 | [34D] | ....
250D38 | 251800 | 253000 | 280000 | 252000 | 259000 | [34E] | ....
250D3C | 251800 | 253000 | 280000 | 252000 | 259000 | [34F] | ....
250D40 | 251800 | 253000 | 280000 | 252000 | 259000 | [350] | ....
250D44 | 251800 | 253000 | 280000 | 252000 | 259000 | [351] | ....
250D48 | 251800 | 253000 | 280000 | 252000 | 259000 | [352] | ....
250D4C | 251800 | 253000 | 280000 | 252000 | 259000 | [353] | ....
250D50 | 251800 | 253000 | 280000 | 252000 | 259000 | [354] | ....
250D54 | 251800 | 253000 | 280000 | 252000 | 259000 | [355] | ....
250D58 | 251800 | 253000 | 280000 | 252000 | 259000 | [356] | ....
250D5C | 251800 | 253000 | 280000 | 252000 | 259000 | [357] | ....
250D60 | 251800 | 253000 | 280000 | 252000 | 259000 | [358] | ....
250D64 | 251800 | 253000 | 280000 | 252000 | 259000 | [359] | ....
250D68 | 251800 | 253000 | 280000 | 252000 | 259000 | [35A] | ....
250D6C | 251800 | 253000 | 280000 | 252000 | 259000 | [35B] | ....
250D70 | 251800 | 253000 | 280000 | 252000 | 259000 | [35C] | ....
250D74 | 251800 | 253000 | 280000 | 252000 | 259000 | [35D] | ....
250D78 | 251800 | 253000 | 280000 | 252000 | 259000 | [35E] | ....
250D7C | 251800 | 253000 | 280000 | 252000 | 259000 | [35F] | ....
250D80 | 251800 | 253000 | 280000 | 252000 | 259000 | [360] | ....
250D84 | 251800 | 253000 | 280000 | 252000 | 259000 | [361] | ....
250D88 | 251800 | 253000 | 280000 | 252000 | 259000 | [362] | ....
250D8C | 251800 | 253000 | 280000 | 252000 | 259000 | [363] | ....
250D90 | 251800 | 253000 | 280000 | 252000 | 259000 | [364] | ....
250D94 | 251800 | 253000 | 280000 | 252000 | 259000 | [365] | ....
250D98 | 251800 | 253000 | 280000 | 252000 | 259000 | [366] | ....
250D9C | 251800 | 253000 | 280000 | 252000 | 259000 | [367] | ....
250DA0 | 251800 | 253000 | 280000 | 252000 | 259000 | [368] | ....
250DA4 | 251800 | 253000 | 280000 | 252000 | 259000 | [369] | ....
250DA8 | 251800 | 253000 | 280000 | 252000 | 259000 | [36A] | ....
250DAC | 251800 | 253000 | 280000 | 252000 | 259000 | [36B] | ....
250DB0 | 251800 | 253000 | 280000 | 252000 | 259000 | [36C] | ....
250DB4 | 251800 | 253000 | 280000 | 252000 | 259000 | [36D] | ....
